Generation,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Honest,Corrupt
286000,1,0,0,0,0,1
287000,1,0,0,0,0,1
288000,0.96,0.02,0.02,0,0,1
289000,1,0,0,0,0,1
290000,0.98,0,0.02,0,0,1
291000,1,0,0,0,0.1,0.9
292000,1,0,0,0,0,1
293000,1,0,0,0,0,1
294000,0.98,0.02,0,0,0,1
295000,0.98,0,0,0.02,0,1
296000,0.98,0,0,0.02,0,1
297000,1,0,0,0,0,1
298000,1,0,0,0,0,1
299000,1,0,0,0,0,1
300000,1,0,0,0,0,1
